# temperatura, humedad relativa, hora -> hcb
(-15, 85, 18) -> 12
(-15, 85, 19) -> 12
(-15, 85, 20) -> 12
(-15, 85, 21) -> 12
(-15, 85, 22) -> 12
(-15, 85, 23) -> 12
(-15, 90, 0) -> 13
(-15, 90, 1) -> 13
(-15, 90, 2) -> 13
(-15, 90, 3) -> 13
(-15, 90, 4) -> 13
(-15, 90, 5) -> 13
(-15, 90, 6) -> 13
(-15, 90, 7) -> 13
(-15, 90, 8) -> 13
(-15, 90, 9) -> 13
(-15, 90, 10) -> 13
(-15, 90, 11) -> 13
(-15, 90, 12) -> 13
(-15, 90, 13) -> 13
(-15, 90, 14) -> 13
(-15, 90, 15) -> 13
(-15, 90, 16) -> 13
(-15, 90, 17) -> 13
(-15, 90, 18) -> 13
(-15, 90, 19) -> 13
(-15, 90, 20) -> 13
(-15, 90, 21) -> 13
(-15, 90, 22) -> 13
(-15, 90, 23) -> 13
(-15, 95, 0) -> 13
(-15, 95, 1) -> 13
(-15, 95, 2) -> 13
(-15, 95, 3) -> 13
(-15, 95, 4) -> 13
(-15, 95, 5) -> 13
(-15, 95, 6) -> 13
(-15, 95, 7) -> 13
(-15, 95, 8) -> 13
(-15, 95, 9) -> 13
(-15, 95, 10) -> 13
(-15, 95, 11) -> 13
(-15, 95, 12) -> 13
(-15, 95, 13) -> 13
(-15, 95, 14) -> 13
(-15, 95, 15) -> 13
(-15, 95, 16) -> 13
(-15, 95, 17) -> 13
(-15, 95, 18) -> 13
(-15, 95, 19) -> 13
(-15, 95, 20) -> 13
(-15, 95, 21) -> 13
(-15, 95, 22) -> 13
(-15, 95, 23) -> 13
(-15, 100, 0) -> 14
(-15, 100, 1) -> 14
(-15, 100, 2) -> 14
(-15, 100, 3) -> 14
(-15, 100, 4) -> 14
(-15, 100, 5) -> 14
(-15, 100, 6) -> 14
(-15, 100, 7) -> 14
(-15, 100, 8) -> 14
(-15, 100, 9) -> 14
(-15, 100, 10) -> 14
(-15, 100, 11) -> 14
(-15, 100, 12) -> 14
(-15, 100, 13) -> 14
(-15, 100, 14) -> 14
(-15, 100, 15) -> 14
(-15, 100, 16) -> 14
(-15, 100, 17) -> 14
(-15, 100, 18) -> 14
(-15, 100, 19) -> 14
(-15, 100, 20) -> 14
(-15, 100, 21) -> 14
(-15, 100, 22) -> 14
(-15, 100, 23) -> 14
(-10, 0, 0) -> 1
(-10, 0, 1) -> 1
(-10, 0, 2) -> 1
(-10, 0, 3) -> 1
(-10, 0, 4) -> 1
(-10, 0, 5) -> 1
(-10, 0, 6) -> 1
(-10, 0, 7) -> 1
(-10, 0, 8) -> 1
(-10, 0, 9) -> 1
(-10, 0, 10) -> 1
(-10, 0, 11) -> 1
(-10, 0, 12) -> 1
(-10, 0, 13) -> 1
(-10, 0, 14) -> 1
(-10, 0, 15) -> 1
(-10, 0, 16) -> 1
(-10, 0, 17) -> 1
(-10, 0, 18) -> 1
(-10, 0, 19) -> 1
(-10, 0, 20) -> 1
(-10, 0, 21) -> 1
(-10, 0, 22) -> 1
(-10, 0, 23) -> 1
(-10, 5, 0) -> 2
(-10, 5, 1) -> 2
(-10, 5, 2) -> 2
(-10, 5, 3) -> 2
(-10, 5, 4) -> 2
(-10, 5, 5) -> 2
(-10, 5, 6) -> 2
(-10, 5, 7) -> 2
(-10, 5, 8) -> 2
(-10, 5, 9) -> 2
(-10, 5, 10) -> 2
(-10, 5, 11) -> 2
(-10, 5, 12) -> 2
(-10, 5, 13) -> 2
(-10, 5, 14) -> 2
(-10, 5, 15) -> 2
(-10, 5, 16) -> 2
(-10, 5, 17) -> 2
(-10, 5, 18) -> 2
(-10, 5, 19) -> 2
(-10, 5, 20) -> 2
(-10, 5, 21) -> 2
(-10, 5, 22) -> 2
(-10, 5, 23) -> 2
(-10, 10, 0) -> 2
(-10, 10, 1) -> 2
(-10, 10, 2) -> 2
(-10, 10, 3) -> 2
(-10, 10, 4) -> 2
(-10, 10, 5) -> 2
(-10, 10, 6) -> 2
(-10, 10, 7) -> 2
(-10, 10, 8) -> 2
(-10, 10, 9) -> 2
(-10, 10, 10) -> 2
(-10, 10, 11) -> 2
(-10, 10, 12) -> 2
(-10, 10, 13) -> 2
(-10, 10, 14) -> 2
(-10, 10, 15) -> 2
(-10, 10, 16) -> 2
(-10, 10, 17) -> 2
(-10, 10, 18) -> 2
(-10, 10, 19) -> 2
(-10, 10, 20) -> 2
(-10, 10, 21) -> 2
(-10, 10, 22) -> 2
(-10, 10, 23) -> 2
(-10, 15, 0) -> 3
(-10, 15, 1) -> 3
(-10, 15, 2) -> 3
(-10, 15, 3) -> 3
(-10, 15, 4) -> 3
(-10, 15, 5) -> 3
(-10, 15, 6) -> 3
(-10, 15, 7) -> 3
(-10, 15, 8) -> 3
(-10, 15, 9) -> 3
(-10, 15, 10) -> 3
(-10, 15, 11) -> 3
(-10, 15, 12) -> 3
(-10, 15, 13) -> 3
(-10, 15, 14) -> 3
(-10, 15, 15) -> 3
(-10, 15, 16) -> 3
(-10, 15, 17) -> 3
(-10, 15, 18) -> 3
(-10, 15, 19) -> 3
(-10, 15, 20) -> 3
(-10, 15, 21) -> 3
(-10, 15, 22) -> 3
(-10, 15, 23) -> 3
(-10, 20, 0) -> 4
(-10, 20, 1) -> 4
(-10, 20, 2) -> 4
(-10, 20, 3) -> 4
(-10, 20, 4) -> 4
(-10, 20, 5) -> 4
(-10, 20, 6) -> 4
(-10, 20, 7) -> 4
(-10, 20, 8) -> 4
(-10, 20, 9) -> 4
(-10, 20, 10) -> 4
(-10, 20, 11) -> 4
(-10, 20, 12) -> 4
(-10, 20, 13) -> 4
(-10, 20, 14) -> 4
(-10, 20, 15) -> 4
(-10, 20, 16) -> 4
(-10, 20, 17) -> 4
(-10, 20, 18) -> 4
(-10, 20, 19) -> 4
(-10, 20, 20) -> 4
(-10, 20, 21) -> 4
(-10, 20, 22) -> 4
(-10, 20, 23) -> 4
(-10, 25, 0) -> 5
(-10, 25, 1) -> 5
(-10, 25, 2) -> 5
(-10, 25, 3) -> 5
(-10, 25, 4) -> 5
(-10, 25, 5) -> 5
(-10, 25, 6) -> 5
(-10, 25, 7) -> 5
(-10, 25, 8) -> 5
(-10, 25, 9) -> 5
(-10, 25, 10) -> 5
(-10, 25, 11) -> 5
(-10, 25, 12) -> 5
(-10, 25, 13) -> 5
(-10, 25, 14) -> 5
(-10, 25, 15) -> 5
(-10, 25, 16) -> 5
(-10, 25, 17) -> 5
(-10, 25, 18) -> 5
(-10, 25, 19) -> 5
(-10, 25, 20) -> 5
(-10, 25, 21) -> 5
(-10, 25, 22) -> 5
(-10, 25, 23) -> 5
(-10, 30, 0) -> 5
(-10, 30, 1) -> 5
(-10, 30, 2) -> 5
(-10, 30, 3) -> 5
(-10, 30, 4) -> 5
(-10, 30, 5) -> 5
(-10, 30, 6) -> 5
(-10, 30, 7) -> 5
(-10, 30, 8) -> 5
(-10, 30, 9) -> 5
(-10, 30, 10) -> 5
(-10, 30, 11) -> 5
(-10, 30, 12) -> 5
(-10, 30, 13) -> 5
(-10, 30, 14) -> 5
(-10, 30, 15) -> 5
(-10, 30, 16) -> 5
(-10, 30, 17) -> 5
(-10, 30, 18) -> 5
(-10, 30, 19) -> 5
(-10, 30, 20) -> 5
(-10, 30, 21) -> 5
(-10, 30, 22) -> 5
(-10, 30, 23) -> 5
(-10, 35, 0) -> 6
(-10, 35, 1) -> 6
(-10, 35, 2) -> 6
(-10, 35, 3) -> 6
(-10, 35, 4) -> 6
(-10, 35, 5) -> 6
(-10, 35, 6) -> 6
(-10, 35, 7) -> 6
(-10, 35, 8) -> 6
(-10, 35, 9) -> 6
(-10, 35, 10) -> 6
(-10, 35, 11) -> 6
(-10, 35, 12) -> 6
(-10, 35, 13) -> 6
(-10, 35, 14) -> 6
(-10, 35, 15) -> 6
(-10, 35, 16) -> 6
(-10, 35, 17) -> 6
(-10, 35, 18) -> 6
(-10, 35, 19) -> 6
(-10, 35, 20) -> 6
(-10, 35, 21) -> 6
(-10, 35, 22) -> 6
(-10, 35, 23) -> 6
(-10, 40, 0) -> 7
(-10, 40, 1) -> 7
(-10, 40, 2) -> 7
(-10, 40, 3) -> 7
(-10, 40, 4) -> 7
(-10, 40, 5) -> 7
(-10, 40, 6) -> 7
(-10, 40, 7) -> 7
(-10, 40, 8) -> 7
(-10, 40, 9) -> 7
(-10, 40, 10) -> 7
(-10, 40, 11) -> 7
(-10, 40, 12) -> 7
(-10, 40, 13) -> 7
(-10, 40, 14) -> 7
(-10, 40, 15) -> 7
(-10, 40, 16) -> 7
(-10, 40, 17) -> 7
(-10, 40, 18) -> 7
(-10, 40, 19) -> 7
(-10, 40, 20) -> 7
(-10, 40, 21) -> 7
(-10, 40, 22) -> 7
(-10, 40, 23) -> 7
(-10, 45, 0) -> 8
(-10, 45, 1) -> 8
(-10, 45, 2) -> 8
(-10, 45, 3) -> 8
(-10, 45, 4) -> 8
(-10, 45, 5) -> 8
(-10, 45, 6) -> 8
(-10, 45, 7) -> 8
(-10, 45, 8) -> 8
(-10, 45, 9) -> 8
(-10, 45, 10) -> 8
(-10, 45, 11) -> 8
(-10, 45, 12) -> 8
(-10, 45, 13) -> 8
(-10, 45, 14) -> 8
(-10, 45, 15) -> 8
(-10, 45, 16) -> 8
(-10, 45, 17) -> 8
(-10, 45, 18) -> 8
(-10, 45, 19) -> 8
(-10, 45, 20) -> 8
(-10, 45, 21) -> 8
(-10, 45, 22) -> 8
(-10, 45, 23) -> 8
(-10, 50, 0) -> 8
(-10, 50, 1) -> 8
(-10, 50, 2) -> 8
(-10, 50, 3) -> 8
(-10, 50, 4) -> 8
(-10, 50, 5) -> 8
(-10, 50, 6) -> 8
(-10, 50, 7) -> 8
(-10, 50, 8) -> 8
(-10, 50, 9) -> 8
(-10, 50, 10) -> 8
(-10, 50, 11) -> 8
(-10, 50, 12) -> 8
(-10, 50, 13) -> 8
(-10, 50, 14) -> 8
(-10, 50, 15) -> 8
(-10, 50, 16) -> 8
(-10, 50, 17) -> 8
(-10, 50, 18) -> 8
(-10, 50, 19) -> 8
(-10, 50, 20) -> 8
(-10, 50, 21) -> 8
(-10, 50, 22) -> 8
(-10, 50, 23) -> 8
(-10, 55, 0) -> 8
(-10, 55, 1) -> 8
(-10, 55, 2) -> 8
(-10, 55, 3) -> 8
(-10, 55, 4) -> 8
(-10, 55, 5) -> 8
(-10, 55, 6) -> 8
(-10, 55, 7) -> 8
(-10, 55, 8) -> 8
(-10, 55, 9) -> 8
(-10, 55, 10) -> 8
(-10, 55, 11) -> 8
(-10, 55, 12) -> 8
(-10, 55, 13) -> 8
(-10, 55, 14) -> 8
(-10, 55, 15) -> 8
(-10, 55, 16) -> 8
(-10, 55, 17) -> 8
(-10, 55, 18) -> 8
(-10, 55, 19) -> 8
(-10, 55, 20) -> 8
(-10, 55, 21) -> 8
(-10, 55, 22) -> 8
(-10, 55, 23) -> 8
(-10, 60, 0) -> 9
(-10, 60, 1) -> 9
(-10, 60, 2) -> 9
(-10, 60, 3) -> 9
(-10, 60, 4) -> 9
(-10, 60, 5) -> 9
(-10, 60, 6) -> 9
(-10, 60, 7) -> 9
(-10, 60, 8) -> 9
(-10, 60, 9) -> 9
(-10, 60, 10) -> 9
(-10, 60, 11) -> 9
(-10, 60, 12) -> 9
(-10, 60, 13) -> 9
(-10, 60, 14) -> 9
(-10, 60, 15) -> 9
(-10, 60, 16) -> 9
(-10, 60, 17) -> 9
(-10, 60, 18) -> 9
(-10, 60, 19) -> 9
(-10, 60, 20) -> 9
(-10, 60, 21) -> 9
(-10, 60, 22) -> 9
(-10, 60, 23) -> 9
(-10, 65, 0) -> 9
(-10, 65, 1) -> 9
(-10, 65, 2) -> 9
(-10, 65, 3) -> 9
(-10, 65, 4) -> 9
(-10, 65, 5) -> 9
(-10, 65, 6) -> 9
(-10, 65, 7) -> 9
(-10, 65, 8) -> 9
(-10, 65, 9) -> 9
(-10, 65, 10) -> 9
(-10, 65, 11) -> 9
(-10, 65, 12) -> 9
(-10, 65, 13) -> 9
(-10, 65, 14) -> 9
(-10, 65, 15) -> 9
(-10, 65, 16) -> 9
(-10, 65, 17) -> 9
(-10, 65, 18) -> 9
(-10, 65, 19) -> 9
(-10, 65, 20) -> 9
(-10, 65, 21) -> 9
(-10, 65, 22) -> 9
(-10, 65, 23) -> 9
(-10, 70, 0) -> 10
(-10, 70, 1) -> 10
(-10, 70, 2) -> 10
(-10, 70, 3) -> 10
(-10, 70, 4) -> 10
(-10, 70, 5) -> 10
(-10, 70, 6) -> 10
(-10, 70, 7) -> 10
(-10, 70, 8) -> 10
(-10, 70, 9) -> 10
(-10, 70, 10) -> 10
(-10, 70, 11) -> 10
(-10, 70, 12) -> 10
(-10, 70, 13) -> 10
(-10, 70, 14) -> 10
(-10, 70, 15) -> 10
(-10, 70, 16) -> 10
(-10, 70, 17) -> 10
(-10, 70, 18) -> 10
(-10, 70, 19) -> 10
(-10, 70, 20) -> 10
(-10, 70, 21) -> 10
(-10, 70, 22) -> 10
(-10, 70, 23) -> 10
(-10, 75, 0) -> 11
(-10, 75, 1) -> 11
(-10, 75, 2) -> 11
(-10, 75, 3) -> 11
(-10, 75, 4) -> 11
(-10, 75, 5) -> 11
(-10, 75, 6) -> 11
(-10, 75, 7) -> 11
(-10, 75, 8) -> 11
(-10, 75, 9) -> 11
(-10, 75, 10) -> 11
(-10, 75, 11) -> 11
(-10, 75, 12) -> 11
(-10, 75, 13) -> 11
(-10, 75, 14) -> 11
(-10, 75, 15) -> 11
(-10, 75, 16) -> 11
(-10, 75, 17) -> 11
(-10, 75, 18) -> 11
(-10, 75, 19) -> 11
(-10, 75, 20) -> 11
(-10, 75, 21) -> 11
(-10, 75, 22) -> 11
(-10, 75, 23) -> 11
(-10, 80, 0) -> 12
(-10, 80, 1) -> 12
(-10, 80, 2) -> 12
(-10, 80, 3) -> 12
(-10, 80, 4) -> 12
(-10, 80, 5) -> 12
(-10, 80, 6) -> 12
(-10, 80, 7) -> 12
(-10, 80, 8) -> 12
(-10, 80, 9) -> 12
(-10, 80, 10) -> 12
(-10, 80, 11) -> 12
(-10, 80, 12) -> 12
(-10, 80, 13) -> 12
(-10, 80, 14) -> 12
(-10, 80, 15) -> 12
(-10, 80, 16) -> 12
(-10, 80, 17) -> 12
(-10, 80, 18) -> 12
(-10, 80, 19) -> 12
(-10, 80, 20) -> 12
(-10, 80, 21) -> 12
(-10, 80, 22) -> 12
(-10, 80, 23) -> 12
(-10, 85, 0) -> 12
(-10, 85, 1) -> 12
(-10, 85, 2) -> 12
(-10, 85, 3) -> 12
(-10, 85, 4) -> 12
(-10, 85, 5) -> 12
(-10, 85, 6) -> 12
(-10, 85, 7) -> 12
(-10, 85, 8) -> 12
(-10, 85, 9) -> 12
(-10, 85, 10) -> 12
(-10, 85, 11) -> 12
(-10, 85, 12) -> 12
(-10, 85, 13) -> 12
(-10, 85, 14) -> 12
(-10, 85, 15) -> 12
(-10, 85, 16) -> 12
(-10, 85, 17) -> 12
(-10, 85, 18) -> 12
(-10, 85, 19) -> 12
(-10, 85, 20) -> 12
(-10, 85, 21) -> 12
(-10, 85, 22) -> 12
(-10, 85, 23) -> 12
(-10, 90, 0) -> 13
(-10, 90, 1) -> 13
(-10, 90, 2) -> 13
(-10, 90, 3) -> 13
(-10, 90, 4) -> 13
(-10, 90, 5) -> 13
(-10, 90, 6) -> 13
(-10, 90, 7) -> 13
(-10, 90, 8) -> 13
(-10, 90, 9) -> 13
(-10, 90, 10) -> 13
(-10, 90, 11) -> 13
(-10, 90, 12) -> 13
(-10, 90, 13) -> 13
(-10, 90, 14) -> 13
(-10, 90, 15) -> 13
(-10, 90, 16) -> 13
(-10, 90, 17) -> 13
(-10, 90, 18) -> 13
(-10, 90, 19) -> 13
(-10, 90, 20) -> 13
(-10, 90, 21) -> 13
(-10, 90, 22) -> 13
(-10, 90, 23) -> 13
(-10, 95, 0) -> 13
(-10, 95, 1) -> 13
(-10, 95, 2) -> 13
(-10, 95, 3) -> 13
(-10, 95, 4) -> 13
(-10, 95, 5) -> 13
(-10, 95, 6) -> 13
(-10, 95, 7) -> 13
(-10, 95, 8) -> 13
(-10, 95, 9) -> 13
(-10, 95, 10) -> 13
(-10, 95, 11) -> 13
(-10, 95, 12) -> 13
(-10, 95, 13) -> 13
(-10, 95, 14) -> 13
(-10, 95, 15) -> 13
(-10, 95, 16) -> 13
(-10, 95, 17) -> 13
(-10, 95, 18) -> 13
(-10, 95, 19) -> 13
(-10, 95, 20) -> 13
(-10, 95, 21) -> 13
(-10, 95, 22) -> 13
(-10, 95, 23) -> 13
(-10, 100, 0) -> 14
(-10, 100, 1) -> 14
(-10, 100, 2) -> 14
(-10, 100, 3) -> 14
(-10, 100, 4) -> 14
(-10, 100, 5) -> 14
(-10, 100, 6) -> 14
(-10, 100, 7) -> 14
(-10, 100, 8) -> 14
(-10, 100, 9) -> 14
(-10, 100, 10) -> 14
(-10, 100, 11) -> 14
(-10, 100, 12) -> 14
(-10, 100, 13) -> 14
(-10, 100, 14) -> 14
(-10, 100, 15) -> 14
(-10, 100, 16) -> 14
(-10, 100, 17) -> 14
(-10, 100, 18) -> 14
(-10, 100, 19) -> 14
(-10, 100, 20) -> 14
(-10, 100, 21) -> 14
(-10, 100, 22) -> 14
(-10, 100, 23) -> 14
(-5, 0, 0) -> 1
(-5, 0, 1) -> 1
(-5, 0, 2) -> 1
(-5, 0, 3) -> 1
(-5, 0, 4) -> 1
(-5, 0, 5) -> 1
(-5, 0, 6) -> 1
(-5, 0, 7) -> 1
(-5, 0, 8) -> 1
(-5, 0, 9) -> 1
(-5, 0, 10) -> 1
(-5, 0, 11) -> 1
(-5, 0, 12) -> 1
(-5, 0, 13) -> 1
(-5, 0, 14) -> 1
(-5, 0, 15) -> 1
(-5, 0, 16) -> 1
(-5, 0, 17) -> 1
(-5, 0, 18) -> 1
(-5, 0, 19) -> 1
(-5, 0, 20) -> 1
(-5, 0, 21) -> 1
(-5, 0, 22) -> 1
(-5, 0, 23) -> 1
(-5, 5, 0) -> 2
(-5, 5, 1) -> 2
(-5, 5, 2) -> 2
(-5, 5, 3) -> 2
(-5, 5, 4) -> 2
(-5, 5, 5) -> 2
(-5, 5, 6) -> 2
(-5, 5, 7) -> 2
(-5, 5, 8) -> 2
(-5, 5, 9) -> 2
(-5, 5, 10) -> 2
(-5, 5, 11) -> 2
(-5, 5, 12) -> 2
(-5, 5, 13) -> 2
(-5, 5, 14) -> 2
(-5, 5, 15) -> 2
(-5, 5, 16) -> 2
(-5, 5, 17) -> 2
(-5, 5, 18) -> 2
(-5, 5, 19) -> 2
(-5, 5, 20) -> 2
(-5, 5, 21) -> 2
(-5, 5, 22) -> 2
(-5, 5, 23) -> 2
(-5, 10, 0) -> 2
(-5, 10, 1) -> 2
(-5, 10, 2) -> 2
(-5, 10, 3) -> 2
(-5, 10, 4) -> 2
(-5, 10, 5) -> 2
(-5, 10, 6) -> 2
(-5, 10, 7) -> 2
(-5, 10, 8) -> 2
(-5, 10, 9) -> 2
(-5, 10, 10) -> 2
(-5, 10, 11) -> 2
(-5, 10, 12) -> 2
(-5, 10, 13) -> 2
(-5, 10, 14) -> 2
(-5, 10, 15) -> 2
(-5, 10, 16) -> 2
(-5, 10, 17) -> 2
(-5, 10, 18) -> 2
(-5, 10, 19) -> 2
(-5, 10, 20) -> 2
(-5, 10, 21) -> 2
(-5, 10, 22) -> 2
(-5, 10, 23) -> 2
(-5, 15, 0) -> 3
(-5, 15, 1) -> 3
(-5, 15, 2) -> 3
(-5, 15, 3) -> 3
(-5, 15, 4) -> 3
(-5, 15, 5) -> 3
(-5, 15, 6) -> 3
(-5, 15, 7) -> 3
(-5, 15, 8) -> 3
(-5, 15, 9) -> 3
(-5, 15, 10) -> 3
(-5, 15, 11) -> 3
(-5, 15, 12) -> 3
(-5, 15, 13) -> 3
(-5, 15, 14) -> 3
(-5, 15, 15) -> 3
(-5, 15, 16) -> 3
(-5, 15, 17) -> 3
(-5, 15, 18) -> 3
(-5, 15, 19) -> 3
(-5, 15, 20) -> 3
(-5, 15, 21) -> 3
(-5, 15, 22) -> 3
(-5, 15, 23) -> 3
(-5, 20, 0) -> 4
(-5, 20, 1) -> 4
(-5, 20, 2) -> 4
(-5, 20, 3) -> 4
(-5, 20, 4) -> 4
(-5, 20, 5) -> 4
(-5, 20, 6) -> 4
(-5, 20, 7) -> 4
(-5, 20, 8) -> 4
(-5, 20, 9) -> 4
(-5, 20, 10) -> 4
(-5, 20, 11) -> 4
(-5, 20, 12) -> 4
(-5, 20, 13) -> 4
(-5, 20, 14) -> 4
(-5, 20, 15) -> 4
(-5, 20, 16) -> 4
(-5, 20, 17) -> 4
(-5, 20, 18) -> 4
(-5, 20, 19) -> 4
(-5, 20, 20) -> 4
(-5, 20, 21) -> 4
(-5, 20, 22) -> 4
(-5, 20, 23) -> 4
(-5, 25, 0) -> 5
(-5, 25, 1) -> 5
(-5, 25, 2) -> 5
(-5, 25, 3) -> 5
(-5, 25, 4) -> 5
(-5, 25, 5) -> 5
(-5, 25, 6) -> 5
(-5, 25, 7) -> 5
(-5, 25, 8) -> 5
(-5, 25, 9) -> 5
(-5, 25, 10) -> 5
(-5, 25, 11) -> 5
(-5, 25, 12) -> 5
(-5, 25, 13) -> 5
(-5, 25, 14) -> 5
(-5, 25, 15) -> 5
(-5, 25, 16) -> 5
(-5, 25, 17) -> 5
(-5, 25, 18) -> 5
(-5, 25, 19) -> 5
(-5, 25, 20) -> 5
(-5, 25, 21) -> 5
(-5, 25, 22) -> 5
(-5, 25, 23) -> 5
(-5, 30, 0) -> 5
(-5, 30, 1) -> 5
(-5, 30, 2) -> 5
(-5, 30, 3) -> 5
(-5, 30, 4) -> 5
(-5, 30, 5) -> 5
(-5, 30, 6) -> 5
(-5, 30, 7) -> 5
(-5, 30, 8) -> 5
(-5, 30, 9) -> 5
(-5, 30, 10) -> 5
(-5, 30, 11) -> 5
(-5, 30, 12) -> 5
(-5, 30, 13) -> 5
(-5, 30, 14) -> 5
(-5, 30, 15) -> 5
(-5, 30, 16) -> 5
(-5, 30, 17) -> 5
(-5, 30, 18) -> 5
(-5, 30, 19) -> 5
(-5, 30, 20) -> 5
(-5, 30, 21) -> 5
(-5, 30, 22) -> 5
(-5, 30, 23) -> 5
(-5, 35, 0) -> 6
(-5, 35, 1) -> 6
(-5, 35, 2) -> 6
(-5, 35, 3) -> 6
(-5, 35, 4) -> 6
(-5, 35, 5) -> 6
(-5, 35, 6) -> 6
(-5, 35, 7) -> 6
(-5, 35, 8) -> 6
(-5, 35, 9) -> 6
(-5, 35, 10) -> 6
(-5, 35, 11) -> 6
(-5, 35, 12) -> 6
(-5, 35, 13) -> 6
(-5, 35, 14) -> 6
(-5, 35, 15) -> 6
(-5, 35, 16) -> 6
(-5, 35, 17) -> 6
(-5, 35, 18) -> 6
(-5, 35, 19) -> 6
(-5, 35, 20) -> 6
(-5, 35, 21) -> 6
(-5, 35, 22) -> 6
(-5, 35, 23) -> 6
(-5, 40, 0) -> 7
(-5, 40, 1) -> 7
(-5, 40, 2) -> 7
(-5, 40, 3) -> 7
(-5, 40, 4) -> 7
(-5, 40, 5) -> 7
(-5, 40, 6) -> 7
(-5, 40, 7) -> 7
(-5, 40, 8) -> 7
(-5, 40, 9) -> 7
(-5, 40, 10) -> 7
(-5, 40, 11) -> 7
(-5, 40, 12) -> 7
(-5, 40, 13) -> 7
(-5, 40, 14) -> 7
(-5, 40, 15) -> 7
(-5, 40, 16) -> 7
(-5, 40, 17) -> 7
(-5, 40, 18) -> 7
(-5, 40, 19) -> 7
(-5, 40, 20) -> 7
(-5, 40, 21) -> 7
(-5, 40, 22) -> 7
(-5, 40, 23) -> 7
(-5, 45, 0) -> 8
(-5, 45, 1) -> 8
(-5, 45, 2) -> 8
(-5, 45, 3) -> 8
(-5, 45, 4) -> 8
(-5, 45, 5) -> 8
(-5, 45, 6) -> 8
(-5, 45, 7) -> 8
(-5, 45, 8) -> 8
(-5, 45, 9) -> 8
(-5, 45, 10) -> 8
(-5, 45, 11) -> 8
(-5, 45, 12) -> 8
(-5, 45, 13) -> 8
(-5, 45, 14) -> 8
(-5, 45, 15) -> 8
(-5, 45, 16) -> 8
(-5, 45, 17) -> 8
(-5, 45, 18) -> 8
(-5, 45, 19) -> 8
(-5, 45, 20) -> 8
(-5, 45, 21) -> 8
(-5, 45, 22) -> 8
(-5, 45, 23) -> 8
(-5, 50, 0) -> 8
(-5, 50, 1) -> 8
(-5, 50, 2) -> 8
(-5, 50, 3) -> 8
(-5, 50, 4) -> 8
(-5, 50, 5) -> 8
(-5, 50, 6) -> 8
(-5, 50, 7) -> 8
(-5, 50, 8) -> 8
(-5, 50, 9) -> 8
(-5, 50, 10) -> 8
(-5, 50, 11) -> 8
(-5, 50, 12) -> 8
(-5, 50, 13) -> 8
(-5, 50, 14) -> 8
(-5, 50, 15) -> 8
(-5, 50, 16) -> 8
(-5, 50, 17) -> 8
(-5, 50, 18) -> 8
(-5, 50, 19) -> 8
(-5, 50, 20) -> 8
(-5, 50, 21) -> 8
(-5, 50, 22) -> 8
(-5, 50, 23) -> 8
(-5, 55, 0) -> 8
(-5, 55, 1) -> 8
(-5, 55, 2) -> 8
(-5, 55, 3) -> 8
(-5, 55, 4) -> 8
(-5, 55, 5) -> 8
(-5, 55, 6) -> 8
(-5, 55, 7) -> 8
(-5, 55, 8) -> 8
(-5, 55, 9) -> 8
(-5, 55, 10) -> 8
(-5, 55, 11) -> 8
(-5, 55, 12) -> 8
(-5, 55, 13) -> 8
(-5, 55, 14) -> 8
(-5, 55, 15) -> 8
(-5, 55, 16) -> 8
(-5, 55, 17) -> 8
(-5, 55, 18) -> 8
(-5, 55, 19) -> 8
(-5, 55, 20) -> 8
(-5, 55, 21) -> 8
(-5, 55, 22) -> 8
(-5, 55, 23) -> 8
(-5, 60, 0) -> 9
(-5, 60, 1) -> 9
(-5, 60, 2) -> 9
(-5, 60, 3) -> 9
(-5, 60, 4) -> 9
(-5, 60, 5) -> 9
(-5, 60, 6) -> 9
(-5, 60, 7) -> 9
(-5, 60, 8) -> 9
(-5, 60, 9) -> 9
(-5, 60, 10) -> 9
(-5, 60, 11) -> 9
(-5, 60, 12) -> 9
(-5, 60, 13) -> 9
(-5, 60, 14) -> 9
(-5, 60, 15) -> 9
(-5, 60, 16) -> 9
(-5, 60, 17) -> 9
(-5, 60, 18) -> 9
(-5, 60, 19) -> 9
(-5, 60, 20) -> 9
(-5, 60, 21) -> 9
(-5, 60, 22) -> 9
(-5, 60, 23) -> 9
(-5, 65, 0) -> 9
(-5, 65, 1) -> 9
(-5, 65, 2) -> 9
(-5, 65, 3) -> 9
(-5, 65, 4) -> 9
(-5, 65, 5) -> 9
(-5, 65, 6) -> 9
(-5, 65, 7) -> 9
(-5, 65, 8) -> 9
(-5, 65, 9) -> 9
(-5, 65, 10) -> 9
(-5, 65, 11) -> 9
(-5, 65, 12) -> 9
(-5, 65, 13) -> 9
(-5, 65, 14) -> 9
(-5, 65, 15) -> 9
(-5, 65, 16) -> 9
(-5, 65, 17) -> 9
(-5, 65, 18) -> 9
(-5, 65, 19) -> 9
(-5, 65, 20) -> 9
(-5, 65, 21) -> 9
(-5, 65, 22) -> 9
(-5, 65, 23) -> 9
(-5, 70, 0) -> 10
(-5, 70, 1) -> 10
(-5, 70, 2) -> 10
(-5, 70, 3) -> 10
(-5, 70, 4) -> 10
(-5, 70, 5) -> 10
(-5, 70, 6) -> 10
(-5, 70, 7) -> 10
(-5, 70, 8) -> 10
(-5, 70, 9) -> 10
(-5, 70, 10) -> 10
(-5, 70, 11) -> 10
(-5, 70, 12) -> 10
